endpoint,label,pillar,task,metric,higher_better,gen,model,n_ok,value_all_seeds,sd_all_seeds,value_seed_matched,n_seed_matched,g4_status,leak_flag,source
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G2,xgb_ecfp,5,0.682,0.0066,0.682,5,완주 (5/5),누수 0,results/progress.jsonl
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G3,dmpnn_ours,5,0.4406,0.0102,0.4406,5,완주 (5/5),누수 0,results/progress.jsonl
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G4,unimol,5,0.4907,0.0094,0.4907,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
lipophilicity_astrazeneca,친유성 logD,A,reg,MAE,False,G3,admetai,1,0.2914,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G2,xgb_physchem,5,0.7643,0.0133,0.7643,5,완주 (5/5),누수 0,results/progress.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G2,rf_physchem,5,0.8367,0.0118,0.8367,5,완주 (5/5),누수 0,results/progress.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G2,xgb_ecfp,5,1.2889,0.0353,1.2889,5,완주 (5/5),누수 0,results/progress.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G3,dmpnn_ours,5,0.7936,0.0219,0.7936,5,완주 (5/5),누수 0,results/progress.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G4,unimol,5,0.7358,0.0087,0.7358,5,완주 (5/5),누수 0,results/finetune2_raw.jsonl
solubility_aqsoldb,수용해도,A,reg,MAE,False,G3,admetai,1,0.537,0.0,,0,완주 (5/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G2,xgb_physchem,5,0.8993,0.0079,0.8901,1,부분 (seed 1/5),누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G2,rf_physchem,5,0.9059,0.0055,0.8996,1,부분 (seed 1/5),누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G2,xgb_ecfp,5,0.8708,0.0175,0.8634,1,부분 (seed 1/5),누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G3,dmpnn_ours,5,0.8563,0.028,0.8862,1,부분 (seed 1/5),누수 0,results/progress.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G4,unimol,1,0.8362,0.0,0.8362,1,부분 (seed 1/5),누수 0,results/finetune2_raw.jsonl
bbb_martins,BBB 투과,D,cls,AUROC,True,G3,admetai,1,0.9504,0.0,,0,부분 (seed 1/5),★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G2,xgb_physchem,5,8.1186,0.1205,,0,미실행/대기,누수 0,results/progress.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G2,rf_physchem,5,8.5586,0.0791,,0,미실행/대기,누수 0,results/progress.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G2,xgb_ecfp,5,10.483,0.242,,0,미실행/대기,누수 0,results/progress.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G3,dmpnn_ours,5,8.0464,0.2577,,0,미실행/대기,누수 0,results/progress.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
ppbr_az,혈장단백결합,D,reg,MAE,False,G3,admetai,1,5.6757,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G2,xgb_physchem,5,0.5378,0.041,,0,미실행/대기,누수 0,results/progress.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G2,rf_physchem,5,0.5765,0.0261,,0,미실행/대기,누수 0,results/progress.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G2,xgb_ecfp,5,0.3916,0.0351,,0,미실행/대기,누수 0,results/progress.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G3,dmpnn_ours,5,0.4708,0.059,,0,미실행/대기,누수 0,results/progress.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
vdss_lombardo,분포용적 VDss,D,reg,Spearman,True,G3,admetai,1,0.4777,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G2,xgb_physchem,5,0.8877,0.002,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G2,rf_physchem,5,0.8728,0.0015,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G2,xgb_ecfp,5,0.8718,0.0029,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G3,dmpnn_ours,5,0.8777,0.0035,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp2c9_veith,CYP2C9 억제,M,cls,AUROC,True,G3,admetai,1,0.9396,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G2,xgb_physchem,5,0.8675,0.0032,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G2,rf_physchem,5,0.8521,0.0015,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G2,xgb_ecfp,5,0.8505,0.005,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G3,dmpnn_ours,5,0.8619,0.0023,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp2d6_veith,CYP2D6 억제,M,cls,AUROC,True,G3,admetai,1,0.9353,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G2,xgb_physchem,5,0.884,0.001,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G2,rf_physchem,5,0.8674,0.0011,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G2,xgb_ecfp,5,0.8703,0.0019,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G3,dmpnn_ours,5,0.8856,0.0043,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp3a4_veith,CYP3A4 억제,M,cls,AUROC,True,G3,admetai,1,0.9447,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G2,xgb_physchem,5,0.5959,0.012,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G2,rf_physchem,5,0.622,0.0141,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G2,xgb_ecfp,5,0.5941,0.0155,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G3,dmpnn_ours,5,0.6245,0.0226,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp2c9_substrate_carbonmangels,CYP2C9 기질,M,cls,AUROC,True,G3,admetai,1,0.7802,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G2,xgb_physchem,5,0.8193,0.0052,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G2,rf_physchem,5,0.8093,0.0091,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G2,xgb_ecfp,5,0.7575,0.0225,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G3,dmpnn_ours,5,0.7658,0.034,,0,미실행/대기,누수 0,results/progress.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp2d6_substrate_carbonmangels,CYP2D6 기질,M,cls,AUROC,True,G3,admetai,1,0.8808,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G2,xgb_physchem,5,0.6405,0.0198,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G2,rf_physchem,5,0.6559,0.0191,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G2,xgb_ecfp,5,0.6456,0.018,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G3,dmpnn_ours,5,0.5745,0.0178,,0,미실행/대기,누수 0,results/progress.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
cyp3a4_substrate_carbonmangels,CYP3A4 기질,M,cls,AUROC,True,G3,admetai,1,0.7509,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G2,xgb_physchem,5,0.312,0.0348,,0,미실행/대기,누수 0,results/progress.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G2,rf_physchem,5,0.3139,0.0314,,0,미실행/대기,누수 0,results/progress.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G2,xgb_ecfp,5,0.2745,0.0438,,0,미실행/대기,누수 0,results/progress.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G3,dmpnn_ours,5,0.1681,0.0739,,0,미실행/대기,누수 0,results/progress.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
half_life_obach,반감기,E,reg,Spearman,True,G3,admetai,1,0.4486,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G2,xgb_physchem,5,0.4212,0.0083,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G2,rf_physchem,5,0.4219,0.0167,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G2,xgb_ecfp,5,0.3693,0.0386,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G3,dmpnn_ours,5,0.3311,0.0213,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
clearance_hepatocyte_az,간세포 청소율,E,reg,Spearman,True,G3,admetai,1,0.6726,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G2,xgb_physchem,5,0.5507,0.0288,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G2,rf_physchem,5,0.544,0.0139,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G2,xgb_ecfp,5,0.4272,0.0257,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G3,dmpnn_ours,5,0.5629,0.0447,,0,미실행/대기,누수 0,results/progress.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G4,unimol,0,,,,0,미실행/대기,누수 0,results/finetune2_raw.jsonl
clearance_microsome_az,마이크로솜 청소율,E,reg,Spearman,True,G3,admetai,1,0.7582,0.0,,0,미실행/대기,★누수 의심(TDC 전체 사전학습)·순위 제외,results/progress.jsonl
